Date,AGG,BND,GLD,IAU,ITOT,IVV,IWM,QQQ,QQQM,SPY,VOO,VTI,VTWO
2020-10-13,98.92169952392578,73.4598159790039,177.72000122070312,36.099998474121094,73.3608169555664,324.0262145996094,151.8928680419922,284.6213073730469,116.80087280273438,323.73040771484375,296.3729248046875,165.14581298828125,60.80595016479492
2020-10-14,98.9803695678711,73.50150299072266,178.27000427246094,36.220001220703125,72.9078140258789,321.9974670410156,150.38975524902344,282.24395751953125,115.75877380371094,321.69622802734375,294.5208740234375,164.04788208007812,60.162628173828125
2020-10-15,98.89656829833984,73.4598159790039,178.9199981689453,36.36000061035156,72.88007354736328,321.60113525390625,151.93948364257812,280.3498840332031,114.92607879638672,321.29864501953125,294.17071533203125,164.10328674316406,60.80595016479492
2020-10-16,98.8462142944336,73.40150451660156,178.3000030517578,36.220001220703125,72.78762817382812,321.315185546875,151.5661163330078,278.8133239746094,114.34037780761719,321.1045227050781,293.92193603515625,163.80804443359375,60.69024658203125
2020-10-19,98.72885131835938,73.33480072021484,178.38999938964844,36.2599983215332,71.69669342041016,316.4924621582031,149.75497436523438,274.2616271972656,112.3623275756836,316.2226867675781,289.48077392578125,161.4646453857422,59.977500915527344
2020-10-20,98.64498901367188,73.20977783203125,179.25,36.439998626708984,71.90010070800781,317.7373352050781,150.0817108154297,274.8511657714844,112.78688049316406,317.48931884765625,290.6232604980469,162.02740478515625,60.07930374145508
2020-10-21,98.52761840820312,73.12644958496094,180.60000610351562,36.7400016784668,71.742919921875,317.11956787109375,148.7933349609375,274.6385192871094,112.93163299560547,316.8883361816406,290.0981140136719,161.473876953125,59.579463958740234
2020-10-22,98.3515396118164,73.00147247314453,178.8300018310547,36.34000015258789,72.2236557006836,318.9267578125,151.36070251464844,274.6287536621094,112.62286376953125,318.6266174316406,291.6921081542969,162.61785888671875,60.54214096069336
2020-10-23,98.49406433105469,73.09307861328125,178.63999938964844,36.31999969482422,72.49176788330078,319.9411315917969,152.23826599121094,275.1699523925781,112.89302062988281,319.7083435058594,292.6872253417969,163.1529998779297,60.930912017822266
2020-10-26,98.62822723388672,73.20144653320312,178.5500030517578,36.29999923706055,71.1512222290039,314.06719970703125,148.95208740234375,271.04351806640625,111.13692474365234,313.80023193359375,287.2969970703125,160.1914520263672,59.57484436035156
2020-10-27,98.85460662841797,73.3764877319336,179.02000427246094,36.400001525878906,70.8923568725586,312.99755859375,147.6730499267578,273.15985107421875,112.01498413085938,312.7183837890625,286.3478698730469,159.545654296875,59.10738754272461
2020-10-28,98.7120590209961,73.27647399902344,176.1300048828125,35.779998779296875,68.56255340576172,302.3470153808594,143.1265411376953,262.5102844238281,107.7694091796875,302.030029296875,276.4888610839844,154.2591094970703,57.288482666015625
2020-10-29,98.5359878540039,73.11812591552734,175.39999389648438,35.63999938964844,69.21897888183594,305.3623962402344,144.83499145507812,267.1006774902344,109.52555084228516,305.09979248046875,279.40045166015625,155.71682739257812,58.038265228271484
2020-10-30,98.26768493652344,72.99311065673828,176.1999969482422,35.779998779296875,68.46087646484375,302.1072998046875,142.92117309570312,260.3262634277344,106.96855926513672,301.9190673828125,276.2584533691406,154.06536865234375,57.23757553100586
2020-11-02,98.44572448730469,73.0941162109375,177.91000366210938,36.13999938964844,69.19123840332031,305.55596923828125,145.46983337402344,260.90606689453125,107.0071792602539,305.3031311035156,279.4741516113281,155.67068481445312,58.237274169921875
2020-11-03,98.40374755859375,73.07740783691406,178.9199981689453,36.34000015258789,70.50406646728516,311.01495361328125,149.59620666503906,265.4190979003906,109.4493179321289,310.6935119628906,284.4036560058594,158.659912109375,59.958980560302734
2020-11-04,99.05885314941406,73.57836151123047,178.82000732421875,36.36000061035156,72.00177001953125,317.8848876953125,149.7642822265625,277.26708984375,113.6552963256836,317.6372375488281,290.8075866699219,162.11965942382812,59.91733169555664
2020-11-05,99.15119934082031,73.6534652709961,182.92999267578125,37.15999984741211,73.51799011230469,324.1000061035156,153.95603942871094,284.4956970214844,116.67545318603516,323.83209228515625,296.50189208984375,165.46868896484375,61.68994903564453
2020-11-06,98.93284606933594,73.48649597167969,183.19000244140625,37.220001220703125,73.47176361083984,324.072265625,152.75169372558594,284.7082824707031,116.75263977050781,323.7581787109375,296.4650573730469,165.38565063476562,61.12531280517578
2020-11-09,98.47091674804688,73.14421081542969,175.0800018310547,35.599998474121094,74.33157348632812,328.1204528808594,158.28781127929688,278.89056396484375,114.34037780761719,327.8264465332031,300.159912109375,167.35084533691406,63.434818267822266
2020-11-10,98.31136322021484,73.00223541259766,175.66000366210938,35.70000076293945,74.28533935546875,327.6963195800781,161.22857666015625,273.8943176269531,112.23402404785156,327.34552001953125,299.7729797363281,167.0740509033203,64.4668960571289
2020-11-11,98.3701400756836,73.05239868164062,174.89999389648438,35.540000915527344,74.7660903930664,330.056884765625,161.16323852539062,280.02130126953125,114.92897033691406,329.77728271484375,301.88299560546875,168.4302978515625,64.55482482910156
2020-11-12,98.78168487548828,73.29449462890625,175.9600067138672,35.779998779296875,74.10043334960938,326.9124450683594,158.68923950195312,278.7070007324219,114.26319885253906,326.578125,299.0910949707031,166.76959228515625,63.45332336425781
2020-11-13,98.79849243164062,73.31953430175781,177.16000366210938,36.0,75.12667083740234,331.35711669921875,161.97547912597656,281.1518859863281,115.35354614257812,331.0994567871094,303.1545715332031,169.13143920898438,64.86031341552734
2020-11-16,98.79004669189453,73.36132049560547,177.14999389648438,36.0,76.1066665649414,335.4698181152344,165.8311309814453,283.34564208984375,115.85526275634766,335.2324523925781,306.83099365234375,171.19810485839844,66.38763427734375
2020-11-17,98.9916000366211,73.48649597167969,176.5,35.880001068115234,75.90325164794922,333.7638854980469,166.60597229003906,282.4469299316406,115.84562683105469,333.429443359375,305.3013916015625,170.81063842773438,66.77176666259766
2020-11-18,99.05885314941406,73.57003021240234,175.49000549316406,35.68000030517578,75.08968353271484,329.7434387207031,164.27200317382812,280.3594665527344,115.35157012939453,329.4166259765625,301.5973815917969,169.0022735595703,65.80448150634766
2020-11-19,99.24359893798828,73.72029876708984,175.16000366210938,35.619998931884766,75.5057144165039,331.08056640625,165.53237915039062,282.55322265625,115.91316986083984,330.8036193847656,302.8596496582031,169.9433135986328,66.3413314819336
