fold,asset_a,asset_b,abs_return_corr,return_corr,alpha,hedge_ratio,eg_stat,eg_pvalue,residual_adf_stat,residual_adf_pvalue,residual_adf_lag,asset_a_level_adf_pvalue,asset_a_diff_adf_pvalue,asset_b_level_adf_pvalue,asset_b_diff_adf_pvalue,asset_a_plausibly_i1,asset_b_plausibly_i1,estimated_half_life_days,eg_fdr_pvalue,eg_fdr_reject,passes_corr,passes_eg,passes_residual_adf,passes_i1,passes_all,screen_score
1,CVX,XOM,0.8410113854020985,0.8410113854020985,2.2666185436664428,0.5491981685104474,-4.154838724022075,0.004266003419905432,-4.154838724022055,3.948721547912593e-05,7,0.10464010366810766,3.829844000703421e-15,0.4225852984741606,9.224368601555127e-10,True,True,12.444421182254368,0.021330017099527157,True,True,True,True,True,True,0.7101602710066008
1,QQQ,SPY,0.9332410927090782,0.9332410927090782,-4.294181280704067,1.709844554008374,-2.449019775417958,0.30200331729559776,-2.449019775418054,0.013829282057602766,13,0.5790247913914632,3.6952898983284105e-14,0.06415340938249468,3.4382324055921406e-12,True,True,46.30318467648787,0.5033388621593297,False,True,False,True,True,False,0.31644173088488
1,KO,PEP,0.7387290685830986,0.7387290685830986,0.5076079311443825,0.6864431887428722,-2.454442442294429,0.2995221318858692,-2.4544424422944733,0.013624102437488213,12,0.2437862080602612,1.091677733972705e-13,0.009897483014973103,8.027758108657776e-13,True,False,35.50325620843798,0.5033388621593297,False,True,False,True,False,False,0.2299700273634222
1,BAC,JPM,0.9397983646964191,0.9397983646964191,-1.1048947344995184,0.9493774914312689,-1.8579031646727067,0.6011946264427902,-1.8579031646724002,0.06019452236531727,2,0.058169683300575356,8.537988428963382e-11,0.18481304754941574,1.8037682683388589e-10,True,True,53.30291779371394,0.7514932830534877,False,True,False,True,True,False,0.16928229737016987
1,AAPL,MSFT,0.770332130152115,0.770332130152115,-1.374853778879865,1.121190756106156,-1.5081473031026138,0.758054683489146,-1.5081473031026253,0.12333567253316607,1,0.7461051166059084,5.723409759309854e-13,0.06806762429290099,9.467950393796875e-16,True,True,88.26812052472212,0.758054683489146,False,True,False,False,True,False,-0.3644326146484833
2,CVX,XOM,0.8455677467671523,0.8455677467671523,2.22713286119102,0.5621024114531186,-3.878114843231262,0.010630896909572685,-3.878114843231292,0.00011790498518004157,7,0.2922962117026139,8.502908051576108e-19,0.7540792349168713,7.083832435268647e-14,True,True,16.968946356066663,0.05315448454786342,True,True,True,True,True,True,0.6599083568450906
2,KO,PEP,0.7339315044464074,0.7339315044464074,0.5055113938950913,0.6870212019320128,-3.0286509592708466,0.10355124000628901,-3.0286509592708257,0.002428354471457321,12,0.0890940299584903,1.040856369834822e-16,0.0044087213997066705,1.4096608554409777e-15,True,False,33.748011845925575,0.25887810001572253,False,True,False,True,False,False,0.3183022850881435
2,BAC,JPM,0.9343261555572916,0.9343261555572916,-1.2118659066167097,0.9725780722800489,-2.1110251237966255,0.4706053865749052,-2.1110251237966264,0.033341038735969046,2,0.5389646194717626,2.58014485714232e-14,0.47028800323136316,1.6778307300992547e-13,True,True,59.22741195327585,0.5119212554514416,False,True,False,True,True,False,0.18180745164190693
2,QQQ,SPY,0.9239994878952892,0.9239994878952892,-3.131639737055054,1.5007467031813029,-2.0319763789619683,0.5119212554514416,-2.0319763789619616,0.04035279059405454,13,0.2718001409409587,1.4639203149307002e-17,0.19666294564042308,8.029965972489938e-16,True,True,84.259377792535,0.5119212554514416,False,True,False,True,True,False,-0.08024122478430418
2,AAPL,MSFT,0.7564808214004585,0.7564808214004585,-1.5111678624018323,1.1510903129231773,-2.4593698777918784,0.29727594362830734,-2.4593698777918886,0.013440001577406666,10,0.38516902871664277,9.802056914180481e-17,0.01007545068777323,1.0926620282146597e-18,True,False,69.32754095069426,0.49545990604717893,False,True,False,True,False,False,-0.08812056023611903
3,KO,PEP,0.7503102904586303,0.7503102904586303,0.1929300156565818,0.7551915069909203,-3.2900170776960755,0.05611905940931517,-3.290017077696089,0.0010135272713849152,13,0.03816780503270969,8.813287823533289e-20,0.00028501197990072827,1.5494969128202901e-18,False,False,39.13275366103213,0.2805952970465758,False,True,True,True,False,False,0.27460145928005913
3,CVX,XOM,0.850169269206306,0.850169269206306,1.4620009020402718,0.7665830815031329,-2.568447607073696,0.24974348146212916,-2.5684476070736837,0.009891167839680162,7,0.6187266404222356,4.694937805980614e-22,0.9333269227470045,1.7823387148819878e-22,True,True,54.91348253722476,0.41666923475928624,False,True,False,True,True,False,0.1740554398383365
3,AAPL,MSFT,0.7724083729362108,0.7724083729362108,-1.783125889482348,1.2092187552311702,-2.5678266642032,0.25000154085557175,-2.567826664203176,0.00990873561825741,10,0.8150883454199174,4.929189073600881e-20,0.9371171053861335,3.068471453435566e-22,True,True,68.27329444031926,0.41666923475928624,False,True,False,True,True,False,-0.03730708901841928
3,BAC,JPM,0.9283175470890374,0.9283175470890374,-1.5271215166624845,1.0451864520869563,-1.9486823242888218,0.5551285673544335,-1.9486823242888236,0.049035329595013145,2,0.373001895449783,1.4275675055515386e-19,0.4659600648032144,8.37233405964557e-18,True,True,92.4715349503536,0.6939107091930419,False,True,False,True,True,False,-0.21437808109141387
3,QQQ,SPY,0.9345885690147696,0.9345885690147696,-2.6007258883553814,1.4048243474298365,-1.5820209339531226,0.7284185917001669,-1.5820209339530795,0.10702702146505383,13,0.9343622989257365,5.900398386146247e-21,0.37199886611877636,2.170089341806259e-19,True,True,137.43079283398814,0.7284185917001669,False,True,False,False,True,False,-0.3053424127882912
