scenario_id,regime,spread_std,spread_max_abs_deviation,spread_autocorrelation_1,baseline_cumulative_net_pnl,baseline_sharpe,baseline_max_drawdown,ml_cumulative_net_pnl,ml_sharpe,ml_max_drawdown,ml_minus_baseline_pnl
1,calm,0.024432114652534902,0.06496247079204727,0.9595656858692276,0.006205686579552994,0.13804489550503732,-0.055324753980098194,0.006205686579552994,0.13804489550503732,-0.055324753980098194,0.0
2,high_volatility,0.056207116141142925,0.12605587416921585,0.9467738681746338,0.050453619549625045,0.4269727437236538,-0.20157805488213837,0.050453619549625045,0.4269727437236538,-0.20157805488213837,0.0
3,jump,0.06629678554187063,0.157532741991743,0.922881880455722,0.0618457408570917,0.3287097335750533,-0.12952869824307456,-0.03676694159985293,-0.21591019868746866,-0.13064613759366484,-0.09861268245694463
4,weak_mean_reversion,0.045070932527619643,0.08633432757202089,0.9683852566016252,-0.12295204873504596,-1.6209418794974588,-0.20874828582863802,-0.12976639433611434,-1.8379348419514405,-0.21556263142970644,-0.006814345601068375
5,stress,0.20507768214596978,0.3631794626203143,0.971479959438579,-0.05765450237751389,-0.22277611494257663,-0.4018065284562874,-4.542319632743733e-06,-1.9222634841522125e-05,-0.4018065284562874,0.057649960057881144
6,calm,0.01872648921151481,0.05028026863930729,0.9195238002916407,0.016800161852150684,0.447771810904432,-0.04727160335240401,0.007090508985125386,0.19160499543284426,-0.04727160335240401,-0.009709652867025298
7,high_volatility,0.03472887136924708,0.09958762717920781,0.8835571308146065,0.21996213312327526,2.555694821639833,-0.05017023057173242,0.21996213312327526,2.555694821639833,-0.05017023057173242,0.0
8,jump,0.06406648739017538,0.12884316613077607,0.9672144302291408,0.05407364656521062,0.8287608870799037,-0.07566935074864936,0.1077746651343366,1.5504124170645865,-0.06333384899382301,0.053701018569125986
9,weak_mean_reversion,0.052021624609873786,0.09260500309081124,0.969317081486293,0.12110361753629054,1.3319115789143328,-0.06952321492678759,0.18998126154679396,2.199552401986273,-0.05370170347491994,0.06887764401050342
10,stress,0.15109005856271082,0.35900372126549285,0.964478743611586,-0.35768660511721245,-1.8049556808315739,-0.3662951961944475,-0.3509693021506117,-1.5138554912444033,-0.4179571644848797,0.00671730296660078
11,calm,0.019092302593514757,0.045467034534318614,0.9296346020487942,0.023223576464207613,0.5194104621609271,-0.041308065724058936,0.023482573933025025,0.5372203036915294,-0.041308065724058936,0.00025899746881741237
12,high_volatility,0.048173325349195086,0.15952179859557136,0.9216549587011854,0.13827482867573854,1.5485714961867825,-0.07084452140161474,0.13827482867573854,1.5485714961867825,-0.07084452140161474,0.0
13,jump,0.09759949434520394,0.18277421843508984,0.9010028588166381,0.3350275424914699,1.150067635381423,-0.25938725166068144,0.3186469839822747,1.094648266698852,-0.25938725166068144,-0.016380558509195176
14,weak_mean_reversion,0.04700593663929359,0.10484392945458224,0.9770859208916455,0.06852378075443959,0.9618632829231185,-0.12290600103216372,0.0562784800052923,0.8013656240439331,-0.12290600103216372,-0.012245300749147287
15,stress,0.17115211316002674,0.29830396159414846,0.9791200268139018,-0.43920719901575517,-1.9865816040964814,-0.5392436570559717,-0.47143953269689814,-1.9879797256694824,-0.5714759907371146,-0.03223233368114298
16,calm,0.020232641774629023,0.05980438602354065,0.9320371255431297,0.026904661821759306,0.5552218636603432,-0.05097973645480973,0.026904661821759306,0.5552218636603432,-0.05097973645480973,0.0
17,high_volatility,0.04329605481476162,0.13779206226074192,0.9303178952925448,-0.056412655380955856,-0.6192567011747031,-0.1137423261570561,-0.07810306312074564,-0.8957180708093012,-0.1137423261570561,-0.02169040773978978
18,jump,0.03486957778793922,0.10022817066136631,0.9374940923363084,-0.030968026887367422,-0.38121476342092414,-0.1249896105835664,-0.009875593192502048,-0.1293102943108519,-0.08616705584084966,0.021092433694865374
19,weak_mean_reversion,0.05705643493766223,0.10568250806059981,0.9797424445243846,0.015932949117023833,0.2241774423005816,-0.0902393618172008,0.02394162427860227,0.3372922477533714,-0.08223068665562236,0.008008675161578438
20,stress,0.25392641915609093,0.4657139921603115,0.9872407377801565,0.09444593551095977,0.34762412789922137,-0.4139265729415781,0.28482106669869683,1.2381590572957824,-0.22470555611432644,0.19037513118773708
21,calm,0.05485239857346729,0.10213551578727237,0.9869873337128819,0.1401617266336781,2.3927232663717635,-0.04066834737009817,0.14644698368100972,2.508764138638782,-0.04066834737009817,0.006285257047331627
22,high_volatility,0.06115396274081692,0.13324042865750757,0.9662705318886067,-0.0774953484497342,-0.8471057914441174,-0.22195536399965624,-0.0762953484497342,-0.8339887668481666,-0.22195536399965624,0.0012000000000000066
