Date,accept_signal,signal_direction,realized_holding_days,realized_gross_return,realized_net_return,label_exit_reason
2018-06-28,1,1.0,4,0.021370132314642465,0.020170132314642465,convergence
2018-06-29,1,1.0,3,0.013673606016860518,0.012473606016860518,convergence
2018-07-30,0,-1.0,10,0.001471201863799454,0.00027120186379945405,horizon
2018-07-31,0,-1.0,10,0.004219562965164236,0.0030195629651642367,horizon
2018-08-01,0,-1.0,10,0.005708496372260452,0.004508496372260452,horizon
2018-08-02,0,-1.0,10,-0.003583298455282158,-0.0047832984552821575,horizon
2018-08-08,0,-1.0,10,-0.0030508498213879243,-0.004250849821387924,horizon
2018-09-04,1,1.0,6,0.008785086904945505,0.007585086904945505,convergence
2018-09-25,0,-1.0,5,-0.03883010125037378,-0.04003010125037378,stop_loss
2018-09-27,0,-1.0,3,-0.025799263605207123,-0.026999263605207123,stop_loss
2018-09-28,0,-1.0,2,-0.026653446328547048,-0.027853446328547048,stop_loss
2018-10-01,0,-1.0,1,-0.01886116013987804,-0.02006116013987804,stop_loss
2018-10-02,0,-1.0,10,0.013473503126490538,0.012273503126490538,horizon
2018-10-03,0,-1.0,10,0.005393819107436304,0.004193819107436304,horizon
2018-10-04,0,-1.0,10,0.013947690554138692,0.012747690554138692,horizon
2018-10-05,0,-1.0,10,0.015026538040474602,0.013826538040474602,horizon
2018-10-08,0,-1.0,10,0.018895730506940378,0.01769573050694038,horizon
2018-10-09,0,-1.0,10,0.013668594956840696,0.012468594956840696,horizon
2018-10-10,1,-1.0,10,0.013351464047258954,0.012151464047258954,convergence
2018-11-01,0,-1.0,10,-0.008274116817543309,-0.009474116817543309,horizon
2018-11-02,0,-1.0,10,2.8501176737361078e-05,-0.0011714988232626388,horizon
2018-11-05,0,-1.0,10,-0.008707264391145664,-0.009907264391145663,horizon
2018-11-06,0,-1.0,10,-0.000652208110778485,-0.0018522081107784848,horizon
2018-11-07,0,-1.0,10,0.011027072883011524,0.009827072883011524,horizon
2018-11-08,0,-1.0,10,0.00233362513066826,0.00113362513066826,horizon
2018-11-13,1,-1.0,8,0.012287818771659076,0.011087818771659076,convergence
2018-12-14,0,1.0,7,-0.01410977479834763,-0.01530977479834763,convergence
2018-12-17,0,-1.0,6,0.00015925182921661118,-0.0010407481707833887,convergence
2018-12-20,0,-1.0,3,0.0005380318295160613,-0.0006619681704839386,convergence
2019-01-14,1,-1.0,2,0.011577444829313777,0.010377444829313777,convergence
2019-01-15,1,-1.0,1,0.00952983427365961,0.00832983427365961,convergence
2019-01-24,1,-1.0,1,0.005763481879557553,0.004563481879557553,convergence
2019-02-04,0,-1.0,8,0.07408860449380539,0.07288860449380538,stop_loss
2019-02-05,0,-1.0,7,0.07548036848704687,0.07428036848704686,stop_loss
2019-02-06,0,-1.0,6,0.07454181617625277,0.07334181617625277,stop_loss
2019-02-07,0,-1.0,5,0.0775344969025955,0.0763344969025955,stop_loss
2019-02-08,0,-1.0,4,0.07958946745494,0.07838946745493999,stop_loss
2019-02-11,0,-1.0,3,0.08212226343031626,0.08092226343031625,stop_loss
2019-02-12,0,-1.0,2,0.07801673576802459,0.07681673576802459,stop_loss
2019-02-13,0,-1.0,1,0.07858342223487824,0.07738342223487824,stop_loss
2019-02-14,0,-1.0,1,0.02825132969327626,0.027051329693276262,stop_loss
2019-02-15,0,1.0,1,-0.009226070001957964,-0.010426070001957964,stop_loss
2019-02-19,0,1.0,10,0.01071099191007363,0.009510991910073631,horizon
2019-02-20,0,1.0,10,-0.003026523131193226,-0.004226523131193226,horizon
2019-02-21,0,1.0,10,-0.018436872322463493,-0.019636872322463493,horizon
2019-02-22,0,1.0,10,-0.0061493933568606,-0.007349393356860599,horizon
2019-02-25,0,1.0,10,0.018288185857961103,0.017088185857961104,horizon
2019-02-26,0,1.0,10,0.020620530999529763,0.019420530999529763,horizon
2019-02-27,0,1.0,10,0.014999060986652601,0.013799060986652602,horizon
2019-02-28,0,1.0,10,0.0174572223331233,0.0162572223331233,horizon
2019-04-18,1,1.0,3,0.011421812733334757,0.010221812733334758,convergence
2019-04-22,1,1.0,2,0.009482883940155062,0.008282883940155063,convergence
2019-04-29,1,-1.0,7,0.00809322248787403,0.00689322248787403,convergence
2019-04-30,1,-1.0,6,0.013675846263093039,0.01247584626309304,convergence
2019-05-01,1,-1.0,5,0.008535934281390656,0.007335934281390656,convergence
2019-05-02,1,-1.0,4,0.006692898962514349,0.005492898962514349,convergence
2019-05-06,1,-1.0,2,0.005896272797736746,0.004696272797736746,convergence
2019-05-17,0,-1.0,7,-0.0007262100394722637,-0.0019262100394722636,convergence
2019-05-23,1,-1.0,3,0.015329996337195784,0.014129996337195784,convergence
2019-05-24,1,-1.0,2,0.013065076762659,0.011865076762659,convergence
2019-05-28,1,-1.0,1,0.013014527622381866,0.011814527622381867,convergence
2019-06-04,0,-1.0,10,0.0008524221634629292,-0.0003475778365370707,horizon
2019-06-05,0,-1.0,10,-0.0014800732843101017,-0.0026800732843101013,horizon
2019-06-06,0,-1.0,10,-0.0012395909622138213,-0.002439590962213821,horizon
2019-06-07,0,-1.0,10,-0.006350313666834584,-0.0075503136668345835,horizon
2019-06-10,0,-1.0,10,-0.015326630622318316,-0.016526630622318315,horizon
2019-06-13,0,-1.0,10,-0.005700621372374037,-0.006900621372374037,horizon
2019-06-17,0,-1.0,10,-0.0177248246085413,-0.0189248246085413,horizon
2019-06-25,0,-1.0,10,0.0020042683148449036,0.0008042683148449037,horizon
2019-07-02,0,-1.0,10,-0.0019745041579808387,-0.0031745041579808383,horizon
2019-07-03,0,-1.0,10,-0.0045368051909240315,-0.005736805190924031,horizon
2019-07-08,0,-1.0,10,0.002848785252894004,0.001648785252894004,horizon
2019-07-09,0,-1.0,10,-0.05713546976274397,-0.05833546976274397,stop_loss
2019-07-15,0,-1.0,6,-0.05953822788223828,-0.06073822788223828,stop_loss
2019-07-18,0,-1.0,3,-0.054733541787880036,-0.055933541787880035,stop_loss
2019-07-24,0,-1.0,10,0.0033514536479928303,0.0021514536479928306,horizon
2019-07-25,0,-1.0,10,-0.008989071370578916,-0.010189071370578916,horizon
2019-07-26,0,-1.0,10,-0.0003158328847612246,-0.0015158328847612245,horizon
2019-07-29,0,-1.0,10,-0.0025611847450943692,-0.003761184745094369,horizon
2019-07-30,0,-1.0,10,0.0011176241318295865,-8.237586817041336e-05,horizon
2019-07-31,0,-1.0,10,0.00039199883744300834,-0.0008080011625569916,horizon
2019-09-09,0,1.0,10,0.005283838426785703,0.004083838426785703,horizon
