Date,AAPL,BAC,CVX,JPM,KO,MSFT,PEP,QQQ,SPY,XOM
2018-01-02,40.267086029052734,24.510147094726562,88.6404800415039,85.51600646972656,35.024227142333984,78.69989776611328,90.64907836914062,150.05728149414062,235.95431518554688,58.185482025146484
2018-01-03,40.26007080078125,24.42817497253418,89.28663635253906,85.60315704345703,34.94731521606445,79.06616973876953,90.41104125976562,151.5153045654297,237.4467315673828,59.3282470703125
2018-01-04,40.44706344604492,24.74787139892578,89.00873565673828,86.82947540283203,35.439537048339844,79.76207733154297,90.85639953613281,151.78042602539062,238.4475555419922,59.410377502441406
2018-01-05,40.907569885253906,24.86263656616211,88.86282348632812,86.27205657958984,35.43183898925781,80.75096130371094,91.1174545288086,153.30474853515625,240.0365753173828,59.36247634887695
2018-01-08,40.75563049316406,24.690494537353516,89.30054473876953,86.39948272705078,35.37800598144531,80.83336639404297,90.59532165527344,153.9011688232422,240.47549438476562,59.62935256958008
2018-01-09,40.75094985961914,24.81344985961914,88.82113647460938,86.83744812011719,35.554893493652344,80.77839660644531,90.66442108154297,153.91067504882812,241.01976013183594,59.37617111206055
2018-01-10,40.74161148071289,25.042978286743164,89.39086151123047,87.79299926757812,35.43183898925781,80.41215515136719,90.20374298095703,153.5509033203125,240.6510772705078,58.90399932861328
2018-01-11,40.9730224609375,25.133146286010742,92.10747528076172,88.2628402709961,35.408775329589844,80.65023803710938,89.74305725097656,154.60179138183594,242.40692138671875,59.48565673828125
2018-01-12,41.3961181640625,25.567611694335938,92.82308959960938,89.72010040283203,35.49337387084961,82.04200744628906,90.126953125,155.7379608154297,243.98712158203125,59.889373779296875
2018-01-16,41.18574523925781,25.608592987060547,91.7183837890625,89.40155029296875,35.78562545776367,80.89746856689453,90.49549865722656,155.2930145263672,243.15316772460938,59.51301193237305
2018-01-17,41.86598587036133,25.55940818786621,91.96156311035156,89.97489929199219,36.008670806884766,82.53648376464844,91.509033203125,156.96881103515625,245.4707794189453,60.21783447265625
2018-01-18,41.90337371826172,25.80533218383789,91.42659759521484,90.18990325927734,36.054805755615234,82.49982452392578,91.40921020507812,156.99725341796875,245.0581512451172,59.82779312133789
2018-01-19,41.71637725830078,26.002073287963867,91.22509002685547,89.99085235595703,36.2701416015625,82.40829467773438,92.26918029785156,157.4895477294922,246.1731414794922,59.63618087768555
2018-01-22,41.375091552734375,26.18241310119629,92.10050201416016,91.04197692871094,36.43935012817383,83.88248443603516,93.29804992675781,159.1747283935547,248.17477416992188,60.388919830322266
2018-01-23,41.38443374633789,26.166017532348633,91.03056335449219,90.94641876220703,36.49317932128906,84.14802551269531,93.13681030273438,160.49085998535156,248.70150756835938,60.42313766479492
2018-01-24,40.72522735595703,26.30537223815918,91.2876205444336,92.10901641845703,36.785438537597656,84.07474517822266,93.01395416259766,159.44943237304688,248.60491943359375,60.580509185791016
2018-01-25,39.99826431274414,26.30537223815918,90.77349090576172,92.13290405273438,36.79312515258789,84.54171752929688,92.82969665527344,159.39260864257812,248.71023559570312,60.47102737426758
2018-01-26,40.09175109863281,26.39554214477539,91.1486587524414,92.6266098022461,37.32379913330078,86.12579345703125,93.48999786376953,161.8353271484375,251.5897216796875,60.902137756347656
2018-01-29,39.26192092895508,26.461124420166016,89.26577758789062,92.53107452392578,36.68545913696289,85.99763488769531,91.88524627685547,161.04953002929688,249.92172241210938,60.224674224853516
2018-01-30,39.03050231933594,26.13322639465332,87.00775146484375,91.6630859375,36.46240997314453,84.91716003417969,92.0541763305664,159.72401428222656,247.35830688476562,59.38298416137695
