entry_date,entry_spread,entry_zscore,direction,holding_days,exit_date,exit_spread,exit_reason,gross_pnl,cost,net_pnl
2024-10-31,-8.611805239233661e-05,-1.7328299330843877,1.0,3,2024-11-05,0.0001415967789251127,convergence,0.0002277148313174493,0.0012,-0.0009722851686825506
2024-11-15,0.00012486913476728034,-1.5191883495761762,1.0,4,2024-11-21,0.00015369788398622575,convergence,2.8828749218945404e-05,0.0012,-0.0011711712507810545
2024-11-26,0.00013875399667906407,-1.92136875579724,1.0,8,2024-12-09,0.0001155413617190959,convergence,-2.321263495996817e-05,0.0012,-0.001223212634959968
2024-12-17,0.00011085678674316313,1.636653695166953,-1.0,1,2024-12-18,6.168075635670789e-05,convergence,4.917603038645524e-05,0.0012,-0.0011508239696135447
2024-12-20,-0.0005356175079160863,-3.02417254175269,1.0,1,2024-12-23,-0.0004282341082371133,stop_loss,0.00010738339967897303,0.0012,-0.0010926166003210269
2024-12-24,0.0005198621934896508,-2.495983683911844,1.0,2,2024-12-27,-0.00041138941010654406,convergence,-0.0009312516035961949,0.0012,-0.0021312516035961945
2024-12-30,-0.00024297347676949244,-2.0652179651679297,1.0,5,2025-01-07,-2.0794398863266395e-05,convergence,0.00022217907790622604,0.0012,-0.0009778209220937739
2025-01-30,0.00015298049770073874,1.5397377657768196,-1.0,9,2025-02-12,-1.5899283243747675e-05,convergence,0.0001688797809444864,0.0012,-0.0010311202190555135
2025-02-27,-7.615113946091157e-05,-1.7558388236554365,1.0,6,2025-03-07,-0.00012699568596019617,convergence,-5.0844546499284604e-05,0.0012,-0.0012508445464992845
2025-03-18,-9.015637823850398e-05,-1.6954301156601193,1.0,12,2025-04-03,-0.00016903966806136594,convergence,-7.888328982286197e-05,0.0012,-0.0012788832898228619
2025-04-07,-0.0006764348088319494,-4.993315512510651,1.0,6,2025-04-15,0.00019483476462411886,convergence,0.0008712695734560683,0.0012,-0.00032873042654393164
2025-05-01,-3.760729426183218e-05,2.057699969828045,-1.0,1,2025-05-02,0.0002922568365262279,convergence,-0.0003298641307880601,0.0012,-0.00152986413078806
2025-06-30,6.588986891653548e-05,-2.96209464276835,1.0,4,2025-07-07,0.0002435335093728952,stop_loss,0.00017764364045635972,0.0012,-0.0010223563595436402
2025-07-24,0.00012476732569766114,1.6857139252418742,-1.0,2,2025-07-28,5.863130796157634e-05,convergence,6.61360177360848e-05,0.0012,-0.001133863982263915
2025-09-03,0.00020988596885285205,-1.5487425889799358,1.0,5,2025-09-10,7.363908628477134e-05,convergence,-0.0001362468825680807,0.0012,-0.0013362468825680806
2025-09-22,0.0002676484676031876,2.0277900069559798,-1.0,2,2025-09-24,0.00013458968480328792,convergence,0.0001330587827998997,0.0012,-0.0010669412172001002
2025-09-26,6.746168192961477e-07,1.8986495265678165,-1.0,8,2025-10-08,0.0003301040951688705,convergence,-0.00032942947834957437,0.0012,-0.0015294294783495743
2025-10-13,6.0636199441965744e-05,-2.1699864515299905,1.0,3,2025-10-16,0.0003248724667086478,convergence,0.00026423626726668203,0.0012,-0.0009357637327333179
2025-10-20,0.00020947166191476185,1.5558403780708576,-1.0,1,2025-10-21,0.00010187633671154828,convergence,0.00010759532520321358,0.0012,-0.0010924046747967863
2025-10-31,-2.1197699746622334e-06,-1.8753240804281766,1.0,2,2025-11-04,0.00027713041159760365,convergence,0.0002792501815722659,0.0012,-0.000920749818427734
2025-11-12,0.0001740262019058747,-1.7169839116203842,1.0,1,2025-11-13,0.00015608679533940517,convergence,-1.793940656646953e-05,0.0012,-0.0012179394065664694
2025-12-26,1.3505708155392426e-05,2.092302097240697,-1.0,14,2026-01-16,5.001306315399745e-05,convergence,-3.6507354998605024e-05,0.0012,-0.001236507354998605
2026-01-20,0.0001486709086098159,-1.7667048124846885,1.0,1,2026-01-21,3.859312542431326e-05,convergence,-0.00011007778318550265,0.0012,-0.0013100777831855025
2026-01-22,0.0001240919449232436,-1.783951697863428,1.0,19,2026-02-19,0.00031444502119004625,convergence,0.00019035307626680265,0.0012,-0.0010096469237331972
2026-03-02,0.00010991317298714165,1.8909549253137188,-1.0,6,2026-03-10,0.00013341247843712267,convergence,-2.3499305449981023e-05,0.0012,-0.001223499305449981
2026-03-19,0.00014284131800135214,1.7997271800221015,-1.0,9,2026-04-01,-6.924591753332265e-07,stop_loss,0.00014353377717668536,0.0012,-0.0010564662228233145
2026-04-08,0.00019632742507358358,1.5663935659563963,-1.0,1,2026-04-09,0.00019600218915361012,convergence,3.2523591997346557e-07,0.0012,-0.0011996747640800264
2026-04-14,0.00036482357046985214,3.191195465113313,-1.0,4,2026-04-20,0.00034851019995585375,convergence,1.6313370513998393e-05,0.0012,-0.0011836866294860015
2026-05-01,0.00024244981031351642,1.8405360290762827,-1.0,1,2026-05-04,0.0002452136171164909,convergence,-2.7638068029745e-06,0.0012,-0.0012027638068029744
2026-05-28,6.761031833413256e-05,2.392588382196146,-1.0,2,2026-06-01,0.0002608015707963318,convergence,-0.00019319125246219926,0.0012,-0.0013931912524621992
2026-06-04,0.00047723285187828424,-4.00395245666358,1.0,2,2026-06-08,0.00011204924658336779,convergence,-0.00036518360529491645,0.0012,-0.0015651836052949163
2026-06-17,0.00018575105952312043,2.0638808245033076,-1.0,3,2026-06-23,0.0002585454469601345,convergence,-7.279438743701405e-05,0.0012,-0.001272794387437014
2026-06-25,0.0003215661735627151,1.7705713837529622,-1.0,2,2026-06-29,-8.88404712284796e-06,stop_loss,0.00033045022068556307,0.0012,-0.0008695497793144368
