fold,pair,pair_status,pair_passes_all,policy,validation_f1,pnl,sharpe,max_drawdown,trades,win_rate,baseline_pnl,baseline_sharpe,pnl_minus_baseline,profitable,passed_and_profitable,strict_gate_pnl,strict_gate_sharpe,strict_gate_trade,test_auc,test_f1,selected_threshold,policy_detail
1,CVX-XOM,passed_all,True,random_forest,0.4166666666666667,0.047781080810898394,0.734049353852884,-0.07925910739288136,4,0.75,-0.1802086534666495,-1.4135104376895895,0.22798973427754787,True,True,0.047781080810898394,0.734049353852884,True,0.6938775510204082,0.4666666666666667,0.5,
1,CVX-XOM,passed_all,True,deep_mlp,0.3950617283950617,0.01030683572967939,0.1368166481856058,-0.05859577711256682,5,0.6,-0.1802086534666495,-1.4135104376895895,0.19051548919632888,True,True,0.01030683572967939,0.1368166481856058,True,0.6842737094837935,0.27586206896551724,0.5,
1,CVX-XOM,passed_all,True,gru,0.3541666666666667,-0.1802086534666495,-1.4135104376895895,-0.24386692601270274,17,0.47058823529411764,-0.1802086534666495,-1.4135104376895895,0.0,False,False,-0.1802086534666495,-1.4135104376895895,True,0.28691476590636256,0.40963855421686746,0.3,
1,CVX-XOM,passed_all,True,lstm,0.5581395348837209,-0.10830061215113546,-1.3993168894093584,-0.16401430250007892,7,0.42857142857142855,-0.1802086534666495,-1.4135104376895895,0.07190804131551404,False,False,-0.10830061215113546,-1.3993168894093584,True,0.4249699879951981,0.2222222222222222,0.6,
1,CVX-XOM,passed_all,True,tcn,0.3541666666666667,-0.1802086534666495,-1.4135104376895895,-0.24386692601270274,17,0.47058823529411764,-0.1802086534666495,-1.4135104376895895,0.0,False,False,-0.1802086534666495,-1.4135104376895895,True,0.4585834333733494,0.40963855421686746,0.3,
1,CVX-XOM,passed_all,True,regime_mixture_of_experts,0.5614035087719298,-0.198704882422436,-1.5850762177816913,-0.22966047098452044,16,0.4375,-0.1802086534666495,-1.4135104376895895,-0.01849622895578651,False,False,-0.198704882422436,-1.5850762177816913,True,,,,"{""experts_by_regime"": {""slow_mean_reversion"": ""lstm"", ""stable"": ""deep_mlp"", ""stress_or_breakdown"": ""tcn""}, ""global_fallback_expert"": ""lstm"", ""training_defined_regime_thresholds"": {""corr_low"": 0.7352108075346566, ""half_life_high"": 13.612867995009264, ""persistence_high"": 6.75, ""stress_high"": 0.5213293650793651}, ""validation_detail"": {""slow_mean_reversion"": {""chosen_expert"": ""lstm"", ""n"": 46, ""validation_f1"": 0.8571428571428571, ""validation_precision"": 0.75}, ""stable"": {""chosen_expert"": ""deep_mlp"", ""n"": 26, ""validation_f1"": 0.4827586206896552, ""validation_precision"": 0.3333333333333333}, ""stress_or_breakdown"": {""chosen_expert"": ""tcn"", ""n"": 7, ""validation_f1"": 0.0, ""validation_precision"": 0.0}}}"
1,CVX-XOM,passed_all,True,uncertainty_consensus,0.6,-0.0003308244076299198,-0.0064747533532906265,-0.05859577711256682,2,0.5,-0.1802086534666495,-1.4135104376895895,0.17987782905901958,False,False,-0.0003308244076299198,-0.0064747533532906265,True,,,,"{""candidate_vote_counts"": [3, 4, 5], ""expert_names"": [""random_forest"", ""deep_mlp"", ""gru"", ""lstm"", ""tcn""], ""n_experts"": 5, ""selected_min_votes"": 5, ""validation_f1"": 0.6, ""validation_precision"": 0.6923076923076923}"
2,CVX-XOM,passed_all,True,random_forest,0.45,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,0.10072395907143523,0.9013905839658117,True,0.24890350877192985,0.3023255813953488,0.3,
2,CVX-XOM,passed_all,True,deep_mlp,0.32432432432432434,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,0.10072395907143523,0.9013905839658117,True,0.12171052631578949,0.14285714285714285,0.3,
2,CVX-XOM,passed_all,True,gru,0.5714285714285714,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,0.10072395907143523,0.9013905839658117,True,0.12828947368421056,0.3595505617977528,0.4,
2,CVX-XOM,passed_all,True,lstm,0.4473684210526316,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,0.10072395907143523,0.9013905839658117,True,0.21820175438596495,0.3023255813953488,0.5,
2,CVX-XOM,passed_all,True,tcn,0.6428571428571429,0.06183542814903456,0.8165441042579327,-0.05502740241398918,8,0.75,0.10072395907143523,0.9013905839658117,-0.038888530922400674,True,True,0.06183542814903456,0.8165441042579327,True,0.49780701754385964,0.3448275862068966,0.3,
2,CVX-XOM,passed_all,True,regime_mixture_of_experts,0.7741935483870968,0.16382189478293013,1.5899114375321348,-0.05502740241398918,9,0.8888888888888888,0.10072395907143523,0.9013905839658117,0.0630979357114949,True,True,0.16382189478293013,1.5899114375321348,True,,,,"{""experts_by_regime"": {""slow_mean_reversion"": ""tcn"", ""stable"": ""random_forest"", ""stress_or_breakdown"": ""tcn""}, ""global_fallback_expert"": ""tcn"", ""training_defined_regime_thresholds"": {""corr_low"": 0.7953258589567719, ""half_life_high"": 17.850207274883207, ""persistence_high"": 7.75, ""stress_high"": 0.5009920634920635}, ""validation_detail"": {""slow_mean_reversion"": {""chosen_expert"": ""tcn"", ""n"": 14, ""validation_f1"": 0.6666666666666666, ""validation_precision"": 1.0}, ""stable"": {""chosen_expert"": ""random_forest"", ""n"": 5, ""validation_f1"": 1.0, ""validation_precision"": 1.0}, ""stress_or_breakdown"": {""chosen_expert"": ""tcn"", ""n"": 48, ""validation_f1"": 0.7, ""validation_precision"": 0.875}}}"
2,CVX-XOM,passed_all,True,uncertainty_consensus,0.5660377358490566,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.10072395907143523,0.9013905839658117,0.0,True,True,0.10072395907143523,0.9013905839658117,True,,,,"{""candidate_vote_counts"": [3, 4, 5], ""expert_names"": [""random_forest"", ""deep_mlp"", ""gru"", ""lstm"", ""tcn""], ""n_experts"": 5, ""selected_min_votes"": 3, ""validation_f1"": 0.5660377358490566, ""validation_precision"": 0.42857142857142855}"
3,KO-PEP,provisional,False,random_forest,0.40860215053763443,-0.0611619661151878,-0.6384588634191968,-0.1366926913799188,11,0.45454545454545453,-0.0611619661151878,-0.6384588634191968,0.0,False,False,0.0,0.0,False,0.30204342273307794,0.5272727272727272,0.3,
3,KO-PEP,provisional,False,deep_mlp,0.3728813559322034,-0.00385426457496341,-0.04185560481285334,-0.08413846564118259,11,0.5454545454545454,-0.0611619661151878,-0.6384588634191968,0.057307701540224396,False,False,0.0,0.0,False,0.4450830140485313,0.4,0.3,
3,KO-PEP,provisional,False,gru,0.4383561643835616,-0.06381315725419291,-0.7163212692653647,-0.13546093016113836,10,0.4,-0.0611619661151878,-0.6384588634191968,-0.00265119113900511,False,False,0.0,0.0,False,0.4782886334610473,0.4528301886792453,0.35,
3,KO-PEP,provisional,False,lstm,0.4857142857142857,-0.01656674073293817,-0.1894935740224744,-0.1058502357750342,10,0.4,-0.0611619661151878,-0.6384588634191968,0.04459522538224964,False,False,0.0,0.0,False,0.49297573435504466,0.5,0.4,
3,KO-PEP,provisional,False,tcn,0.5,-0.021133354830047708,-0.246300785352789,-0.10847819015449937,9,0.3333333333333333,-0.0611619661151878,-0.6384588634191968,0.0400286112851401,False,False,0.0,0.0,False,0.2956577266922094,0.32941176470588235,0.45,
3,KO-PEP,provisional,False,regime_mixture_of_experts,0.5217391304347826,-0.021133354830047708,-0.246300785352789,-0.10847819015449937,9,0.3333333333333333,-0.0611619661151878,-0.6384588634191968,0.0400286112851401,False,False,0.0,0.0,False,,,,"{""experts_by_regime"": {""slow_mean_reversion"": ""tcn"", ""stable"": ""lstm"", ""stress_or_breakdown"": ""tcn""}, ""global_fallback_expert"": ""tcn"", ""training_defined_regime_thresholds"": {""corr_low"": 0.6537064005502584, ""half_life_high"": 38.263893885214955, ""persistence_high"": 10.0, ""stress_high"": 0.5694444444444444}, ""validation_detail"": {""slow_mean_reversion"": {""chosen_expert"": ""tcn"", ""n"": 16, ""validation_f1"": 0.5454545454545454, ""validation_precision"": 0.375}, ""stable"": {""chosen_expert"": ""lstm"", ""n"": 24, ""validation_f1"": 0.2727272727272727, ""validation_precision"": 0.15789473684210525}, ""stress_or_breakdown"": {""chosen_expert"": ""tcn"", ""n"": 38, ""validation_f1"": 0.72, ""validation_precision"": 0.6428571428571429}}}"
3,KO-PEP,provisional,False,uncertainty_consensus,0.45714285714285713,-0.01656674073293817,-0.1894935740224744,-0.1058502357750342,10,0.4,-0.0611619661151878,-0.6384588634191968,0.04459522538224964,False,False,0.0,0.0,False,,,,"{""candidate_vote_counts"": [3, 4, 5], ""expert_names"": [""random_forest"", ""deep_mlp"", ""gru"", ""lstm"", ""tcn""], ""n_experts"": 5, ""selected_min_votes"": 3, ""validation_f1"": 0.45714285714285713, ""validation_precision"": 0.32}"
