fold,pair,eg_p,fdr45,half_life,model,auc,f1,base_pnl,base_sharpe,ml_pnl,ml_sharpe,ml_dd,ml_trades,win,delta_pnl
1,CVX-XOM,0.004266003419905432,0.19197015389574443,12.444421182254368,gradient_boosting,0.6206482593037215,0.36363636363636365,-0.1802086534666495,-1.4135104376895895,-0.0008354671134277701,-0.010441767112896535,-0.08072043281876404,6,0.5,0.17937318635322172
1,AAPL-QQQ,0.053670403943611035,0.3450240253517852,24.904257987139882,random_forest,0.26077097505668934,0.0,0.23534673368833225,0.9588099633077115,-0.0902192486048953,-1.4719248086941137,-0.10278202282858968,1,0.0,-0.32556598229322753
1,CVX-SPY,0.06149655327110659,0.3459181121499746,27.85929507304058,logistic_regression,0.5370065789473684,0.379746835443038,0.21601708308346773,0.680248241511219,0.2973912988966227,1.0188271384731997,-0.19975972783809445,11,0.5454545454545454,0.08137421581315496
1,AAPL-SPY,0.07584528673128506,0.357899506204695,34.58406820074558,logistic_regression,0.5164220824598182,0.2857142857142857,-0.14142647330175762,-0.3874451570907076,0.07166187558478627,0.591646912820013,-0.11994554974125649,3,0.6666666666666666,0.21308834888654388
1,CVX-QQQ,0.011041970277700675,0.24844433124826518,20.68977003607851,random_forest,0.3604651162790697,0.6194690265486725,0.06643070869853672,0.2196652286028565,0.06643070869853672,0.2196652286028565,-0.17669603830060765,14,0.6428571428571429,0.0
1,BAC-QQQ,0.03833982752602676,0.3450240253517852,25.744538881125436,logistic_regression,0.5547886108714409,0.37681159420289856,-0.22209428077758486,-0.8644599786194576,-0.05825996360245188,-0.22195195234416062,-0.29950343677500213,10,0.6,0.16383431717513297
1,BAC-MSFT,0.03639351278403305,0.3450240253517852,24.367703792241784,logistic_regression,0.4883520276100086,0.3835616438356164,-0.18202614838569492,-0.7016226146317146,0.047063945632664625,0.17894912562092877,-0.33805523997932097,10,0.6,0.22909009401835956
1,CVX-MSFT,0.026912524515438664,0.3450240253517852,21.763293876554442,gradient_boosting,0.3951612903225806,0.21052631578947367,0.02830477013972382,0.0943804402379723,-0.11479495024434132,-0.510978285178848,-0.22468220173181086,7,0.2857142857142857,-0.14309972038406513
1,QQQ-XOM,0.09302088438894529,0.357899506204695,31.58731459360724,logistic_regression,0.6558823529411765,0.576271186440678,0.6325397921068988,1.8442874315426254,0.11011923433660693,0.3942134471393356,-0.2982266300184314,8,0.625,-0.5224205577702918
2,CVX-XOM,0.010630896909572685,0.4783903609307708,16.968946356066663,random_forest,0.24890350877192985,0.3023255813953488,0.10072395907143523,0.9013905839658117,0.10072395907143523,0.9013905839658117,-0.05502740241398918,12,0.5833333333333334,0.0
