,asset_a,asset_b,price_a,price_b,hedge_ratio,spread,spread_change,zscore,abs_zscore,spread_volatility,rolling_corr,pair_return_diff,drawdown_a,drawdown_b,half_life,raw_signal,position,ml_probability,ml_accept,spread_return,gross_pnl,transaction_cost,net_pnl,equity_curve
2023-04-14,KO,PEP,84.0893,84.7059,1.0257184787909503,-2.7951068926183638,-0.41628385222814757,-0.764157174422587,0.764157174422587,0.4283385979077624,0.8528419924258254,-0.0050093149017650385,-0.020816982428356834,-0.015988206621113332,1.328149885044626,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2023-04-17,KO,PEP,83.6993,83.9509,1.0257184787909503,-2.410689441131211,0.38441745148715256,0.40880835044665476,0.40880835044665476,0.4328637504969424,0.8593576544388817,0.004275266002339517,-0.025358361377318728,-0.02475889324389935,1.328149885044626,0,0.0,0.0,0,0.38441745148715256,0.0,0.0,0.0,0.0
2023-04-18,KO,PEP,83.8395,84.3409,1.0257184787909503,-2.6705196478596633,-0.25983020672845214,-0.43328631331033496,0.43328631331033496,0.4291617921004705,0.8643923935941513,-0.0029705287133368063,-0.02372579386797391,-0.02022833988908268,1.328149885044626,0,0.0,0.0,0,-0.25983020672845214,-0.0,0.0,-0.0,0.0
2023-04-19,KO,PEP,84.4578,84.8341,1.0257184787909503,-2.558104001599361,0.11241564626030254,-0.02560959772918969,0.02560959772918969,0.3956217336414132,0.8612626140933987,0.0015271087626942403,-0.01652596154965813,-0.014498932415760724,1.328149885044626,0,0.0,0.0,0,0.11241564626030254,0.0,0.0,0.0,0.0
2023-04-20,KO,PEP,85.0641,85.6131,1.0257184787909503,-2.7508386965775173,-0.19273469497815654,-0.6241947388941845,0.6241947388941845,0.3910459699942592,0.8459652558150832,-0.0020038951642573632,-0.009465863968233679,-0.005449442509601221,1.328149885044626,0,0.0,0.0,0,-0.19273469497815654,-0.0,0.0,-0.0,0.0
2023-04-21,KO,PEP,85.3731,85.8141,1.0257184787909503,-2.6480081108145015,0.10283058576301585,-0.2731637268878504,0.2731637268878504,0.3912965974102521,0.8501376489997983,0.0012847831997027104,-0.005867694493286946,-0.0031144650113497097,1.328149885044626,0,0.0,0.0,0,0.10283058576301585,0.0,0.0,0.0,0.0
2023-04-24,KO,PEP,85.0242,84.6205,1.0257184787909503,-1.7726105345296332,0.8753975762848683,2.3594879439524843,2.3594879439524843,0.4186221182868182,0.8444158296456908,0.009822368766746914,-0.009930481968396632,-0.016980281637783312,1.328149885044626,-1,-0.0,0.0,0,0.8753975762848683,0.0,0.0,0.0,0.0
2023-04-25,KO,PEP,84.6244,85.0738,1.0257184787909503,-2.6373687209655685,-0.8647581864359353,-0.24738745790150876,0.24738745790150876,0.44469946661742293,0.8291832183593709,-0.010059048642188873,-0.014585977619153034,-0.011714384623069507,1.328149885044626,0,0.0,0.0,0,-0.8647581864359353,0.0,0.0,0.0,0.0
2023-04-26,KO,PEP,85.472,86.0236,1.0257184787909503,-2.763996132121207,-0.12662741115563847,-0.5808723825299336,0.5808723825299336,0.4400111319556732,0.8331313417357262,-0.0011484005525552732,-0.004716047370075804,-0.0006807446835698228,1.328149885044626,0,-0.0,0.0,0,-0.12662741115563847,-0.0,0.0,-0.0,0.0
2023-04-27,KO,PEP,85.3974,85.9117,1.0257184787909503,-2.7238182343444777,0.04017789777672931,-0.44567871259114133,0.44567871259114133,0.4312271637544186,0.8337461393918555,0.00042800537610832023,-0.005584731651082309,-0.001980664992298098,1.328149885044626,0,0.0,0.0,0,0.04017789777672931,-0.0,0.0,-0.0,0.0
