scenario_id,regime,spread_std,spread_max_abs_deviation,spread_autocorrelation_1,baseline_cumulative_net_pnl,baseline_sharpe,baseline_max_drawdown,ml_cumulative_net_pnl,ml_sharpe,ml_max_drawdown,ml_minus_baseline_pnl
1,calm,0.007926221087248364,0.018191337883298405,0.897927133184604,0.033747038428543125,1.553798153518838,-0.015108919768245507,0.012616348485927548,0.7543264165392348,-0.016699024038852837,-0.021130689942615577
2,high_volatility,0.01761690257958949,0.04519274804985055,0.8823412450238272,0.09053278320289916,1.8237024025029716,-0.057715581568009974,0.09053278320289916,1.8237024025029716,-0.057715581568009974,0.0
3,jump,0.020848567653456093,0.05126681974902752,0.9363760905548263,-0.00016789242431428802,-0.004078093640204651,-0.039778864149577896,-0.00016789242431428802,-0.004078093640204651,-0.039778864149577896,0.0
4,weak_mean_reversion,0.019903118068889586,0.04561963866454069,0.960251552088447,-0.06240334677132437,-1.827572213370774,-0.10038445626764632,-0.021142519656947818,-0.7396363715837151,-0.05358422742065931,0.04126082711437655
5,stress,0.06474959268254245,0.1232421255835069,0.9691565539525216,-0.00713119276829036,-0.06679362159045144,-0.14993617226287415,-0.00713119276829036,-0.06679362159045144,-0.14993617226287415,0.0
6,calm,0.007386396115664403,0.0266246261596281,0.8602220665779228,0.017701647554618394,0.8246550235817456,-0.025106704074409646,0.02269450978339381,1.1521715436881916,-0.025106704074409646,0.004992862228775416
7,high_volatility,0.01531841495254794,0.04167425691027256,0.8485171054437071,0.06596559871848404,1.2797880988782087,-0.03686755123174064,0.06596559871848404,1.2797880988782087,-0.03686755123174064,0.0
8,jump,0.015550298233642975,0.04194828477417677,0.8856432077737123,0.027977038734419733,0.6491091284132454,-0.03577123718550292,0.014000064734029628,0.3845794371037784,-0.04733306113885178,-0.013976974000390104
9,weak_mean_reversion,0.017640453972782574,0.03349716350002841,0.9431865728875635,0.029639631113608865,0.7646640730111713,-0.037075973362393363,0.03444645910581211,0.8917855011723892,-0.03226914537019012,0.004806827992203243
10,stress,0.051366729043893805,0.09473016470967255,0.9664227186882572,-0.08638432763598157,-1.0194434000452735,-0.15875963137659713,-0.08638432763598157,-1.0194434000452735,-0.15875963137659713,0.0
11,calm,0.00804519477779186,0.019511642045377323,0.8933828617690233,0.022518454238293115,0.9453627156121296,-0.024660948211077692,0.021281428413281053,0.9075196683974447,-0.024660948211077692,-0.0012370258250120614
12,high_volatility,0.01799518954943099,0.05345831792201336,0.893906065409491,0.09389968185571519,2.5345873166460824,-0.02335091648282006,0.0869849463700189,2.395594584985375,-0.02335091648282006,-0.006914735485696294
13,jump,0.02379481746586048,0.05618986380114194,0.858779241808838,0.1535734377035685,1.866933082859316,-0.0754633698217484,0.08744559745913029,1.228514860748961,-0.0754633698217484,-0.0661278402444382
14,weak_mean_reversion,0.02085154074813035,0.04095730511579305,0.9693771750146345,-0.036082671241737294,-1.035961420466391,-0.05325091973593224,-0.040217552127009226,-1.223740394339523,-0.053619262703909376,-0.004134880885271933
15,stress,0.07117751653748945,0.1557482830667732,0.9806305641532864,-0.16106448968016351,-1.7522699013393666,-0.21947890221879257,-0.16106448968016351,-1.7522699013393666,-0.21947890221879257,0.0
16,calm,0.00730153557991081,0.026614918458337713,0.8534688928332868,0.008559722542810552,0.3464037624687913,-0.028682268950702736,0.003958053308915507,0.1697610746603437,-0.028682268950702736,-0.004601669233895045
17,high_volatility,0.018296526452255768,0.06781283339925945,0.8973928541203249,-0.016760703186792052,-0.36032063552975385,-0.06945559087000523,-0.016760703186792052,-0.36032063552975385,-0.06945559087000523,0.0
18,jump,0.012126400237594828,0.029775834451805386,0.8829979890140046,0.05612823200387907,1.7221442792985815,-0.028579140545806958,0.05612823200387907,1.7221442792985815,-0.028579140545806958,0.0
19,weak_mean_reversion,0.02747288046200568,0.044795042568959505,0.9824839503821039,0.005099561377723483,0.18975303907333574,-0.05291813925219037,0.010492365477914996,0.4425985091308026,-0.04035268848363951,0.005392804100191512
20,stress,0.07123334443136255,0.14256611719871004,0.9816327145161368,0.0612055766648474,0.788367546211833,-0.11928507556835935,0.0612055766648474,0.788367546211833,-0.11928507556835935,0.0
21,calm,0.012799268502043689,0.027519772690019366,0.9544127552349918,-0.003322035971635044,-0.130378706812397,-0.0261636857956137,0.00472715450093842,0.1875817526449381,-0.0261636857956137,0.008049190472573464
22,high_volatility,0.024701858864178947,0.06208108191299439,0.9451416623219508,0.024315503917924006,0.4952805222146669,-0.07473780470893324,0.024315503917924006,0.4952805222146669,-0.07473780470893324,0.0
23,jump,0.022167972031857986,0.05044762021969694,0.9343926736595567,-0.007682011874726089,-0.15231463075223042,-0.04418381929108963,-0.007682011874726089,-0.15231463075223042,-0.04418381929108963,0.0
24,weak_mean_reversion,0.03068683999619511,0.05623599081722657,0.9859600820912281,-0.08402889167656703,-2.436955648692322,-0.0870917497229403,-0.07789532915081111,-2.3968307413767964,-0.08095818719718438,0.00613356252575592
25,stress,0.034391968135853775,0.09653982257216054,0.9439200901602486,0.051756921071355294,0.6802137736864008,-0.09911195055942393,0.051756921071355294,0.6802137736864008,-0.09911195055942393,0.0
26,calm,0.01106127163153319,0.0261338181044265,0.9234589478167851,0.04625981334803134,1.788932146441962,-0.033162932266582464,0.04625981334803134,1.788932146441962,-0.033162932266582464,0.0
27,high_volatility,0.014331206052602389,0.036447498403074874,0.8215866285274412,0.11483179894815969,2.3671472407207985,-0.03679445314557142,0.11483179894815969,2.3671472407207985,-0.03679445314557142,0.0
