date,asset_a_price,asset_b_price,alpha,hedge_ratio,spread,contemporaneous_zscore_for_outcomes,signal_zscore,abs_zscore,spread_change_lagged,spread_volatility,rolling_corr,spread_drawdown,half_life,deviation_persistence,regime_stress_proxy,asset_a,asset_b
2018-06-21,153.4988,104.8671,0.8832466681373622,0.8874740891498825,0.021300858688531044,2.3194858647123997,2.3055923350474243,2.3055923350474243,0.011486083343942965,0.005194414425766247,0.6756793558526338,0.0,16.015892451463987,11.0,0.5765141007859454,CVX,XOM
2018-06-22,154.8643,105.5031,0.8832466681373622,0.8874740891498825,0.02479124484470141,2.2180304068711996,2.3194858647123997,2.3194858647123997,0.005525778881906085,0.005220924177051524,0.7076476085240682,0.0,18.48641011955427,12.0,0.35396634615384615,CVX,XOM
2018-06-25,155.5704,105.6325,0.8832466681373622,0.8874740891498825,0.02825253377816228,2.131271252847372,2.2180304068711996,2.2180304068711996,0.0034903861561703664,0.0047927646245981646,0.7029911245751412,0.0,21.602161201795575,13.0,0.289010989010989,CVX,XOM
2018-06-26,157.4675,106.4034,0.8832466681373622,0.8874740891498825,0.03392004270644389,2.135690675399273,2.131271252847372,2.131271252847372,0.003461288933460871,0.0044247728468483774,0.7039940026337128,0.0,24.04087387798288,14.0,0.1730989136649514,CVX,XOM
2018-06-27,157.8246,105.5125,0.8832466681373622,0.8874740891498825,0.04364721737898325,2.2567765776111255,2.135690675399273,2.135690675399273,0.005667508928281606,0.004437245933301146,0.7183211781469715,0.0,25.646036144090452,15.0,0.10085088575812526,CVX,XOM
2018-06-28,156.1142,105.4663,0.8832466681373622,0.8874740891498825,0.03313939529444365,1.6667611332933898,2.2567765776111255,2.2567765776111255,0.009727174672539363,0.004509029953536452,0.7067756689699674,0.0,37.71124854634518,16.0,0.16230936819172115,CVX,XOM
2018-06-29,155.7874,105.0876,0.8832466681373622,0.8874740891498825,0.03423626814860814,1.5724000515668037,1.6667611332933898,1.6667611332933898,-0.010507822084539598,0.005183611008451048,0.6912890887280558,-0.010507822084539598,25.28347620952672,17.0,0.5051854806541684,CVX,XOM
2018-07-02,152.7554,104.5406,0.8832466681373622,0.8874740891498825,0.01921348810621737,0.932419674772649,1.5724000515668037,1.5724000515668037,0.0010968728541644879,0.005078006271197036,0.68823576119532,-0.00941094923037511,24.14970840360058,18.0,0.46818181818181814,CVX,XOM
2018-07-03,151.8802,103.5296,0.8832466681373622,0.8874740891498825,0.022092020294727455,0.9786581247100133,0.932419674772649,0.932419674772649,-0.015022780042390771,0.0060285607445086835,0.6756530166563739,-0.02443372927276588,17.73533605112996,0.0,0.7859408704479127,CVX,XOM
2018-07-04,152.5119,103.7987,0.8832466681373622,0.8874740891498825,0.023938813738404008,0.9932459549067484,0.9786581247100133,0.9786581247100133,0.0028785321885100856,0.006027946599967808,0.6761949790581482,-0.021555197084255795,19.389689154700495,0.0,0.7703373015873016,CVX,XOM
