scenario,std,max_abs_spread,autocorr_1
scenario_001_calm,0.009021182528062511,1.6540417044290334,0.9033431146332407
scenario_002_high_vol,0.01799327803608975,1.6776448955785739,0.9062249913116316
scenario_003_jump,0.018860149238585696,1.6575189148198473,0.9099800495105029
scenario_004_weak_mean_reversion,0.014486072527399975,1.6407652774414567,0.9168362348481762
scenario_005_stress,0.08312727652731838,1.7612049861309005,0.9822955715655886
scenario_006_calm,0.007810241955057735,1.6579121255707983,0.8732709880136437
scenario_007_high_vol,0.0174329438984664,1.6522474357035362,0.914085932719631
scenario_008_jump,0.0205369448377211,1.6735810114661442,0.9459739249268425
scenario_009_weak_mean_reversion,0.019396661779607628,1.6866507950762235,0.9559020207921408
scenario_010_stress,0.09797859510389507,1.8179255876873766,0.9870876031897945
scenario_011_calm,0.006692818874658022,1.6493271025364935,0.8248186230108461
scenario_012_high_vol,0.017854565098724556,1.6756716594127794,0.8845515114390556
scenario_013_jump,0.021109311514377137,1.7322357875690955,0.9185643139698679
scenario_014_weak_mean_reversion,0.022282736321289808,1.6904501278742181,0.9600787853915981
scenario_015_stress,0.0689275772143202,1.7995044650437755,0.9746017503201704
scenario_016_calm,0.013237700185402252,1.6708586889297046,0.9430456083717412
scenario_017_high_vol,0.018462465006025684,1.7070005102565178,0.885998877799706
scenario_018_jump,0.01715370428798609,1.6552962520810202,0.895056761956064
scenario_019_weak_mean_reversion,0.03232794266364484,1.7355822526544795,0.9715438672451281
scenario_020_stress,0.055504662402904324,1.791554877499677,0.9550439624786555
scenario_021_calm,0.007456011682292404,1.6525966096596667,0.8234552142112155
scenario_022_high_vol,0.017472675722069626,1.6766060515285188,0.8867505522925552
scenario_023_jump,0.025141083897913998,1.7243905103669828,0.9389262472502126
scenario_024_weak_mean_reversion,0.025478790324236316,1.706283200506016,0.9760437365149229
scenario_025_stress,0.060484354330323745,1.7777252962457568,0.9693714004099913
scenario_026_calm,0.008200811925400063,1.6504384245376267,0.8642081480435257
scenario_027_high_vol,0.019012604152272062,1.6777189695705221,0.919456719694262
scenario_028_jump,0.012822662950398958,1.6504344896484653,0.9027767145010822
scenario_029_weak_mean_reversion,0.011534275518031527,1.6546236886610917,0.8951423844714047
scenario_030_stress,0.05243828097670944,1.746250181552651,0.9588570855588879
scenario_031_calm,0.011596919470084626,1.65870866371136,0.9098511342825181
scenario_032_high_vol,0.022709166640165812,1.6854956256229585,0.9427229320403906
scenario_033_jump,0.01845535280844722,1.6830023208047333,0.930598130898456
scenario_034_weak_mean_reversion,0.027606420375445567,1.7392714869187453,0.968955575460572
scenario_035_stress,0.03602231870079962,1.7532139753660205,0.9367911720859537
scenario_036_calm,0.00883326841180461,1.6641412879430868,0.8426653834668729
scenario_037_high_vol,0.01465141118407354,1.6668112462792941,0.8854805686103043
scenario_038_jump,0.015028999724059905,1.650784625428922,0.9079065363178617
scenario_039_weak_mean_reversion,0.025338793529488687,1.6984233495016645,0.9532194221339313
scenario_040_stress,0.036060467071688446,1.6899018847067566,0.9217683559697569
scenario_041_calm,0.01089480851407966,1.6511391418054393,0.9306300886205726
scenario_042_high_vol,0.01957097635574331,1.6673827277246807,0.9265874796369139
scenario_043_jump,0.019376375898230092,1.6962107701405316,0.9026589409503273
scenario_044_weak_mean_reversion,0.01594472655692082,1.6683401389071735,0.9421314994897066
scenario_045_stress,0.0484133200634443,1.7313968858478452,0.9491708737608281
scenario_046_calm,0.010143368843799027,1.6636053703119318,0.9054580771125642
scenario_047_high_vol,0.01862420746998473,1.6740057843318306,0.9078264840298562
scenario_048_jump,0.015428716368167448,1.67264072614128,0.9181702513362552
scenario_049_weak_mean_reversion,0.018648108842300688,1.6509017638416963,0.9573220825942912
scenario_050_stress,0.06509973085615732,1.6823332645019418,0.9532242567446514
